Date,Open,High,Low,Close,Adj Close,Volume
2021-06-07,78.129997,78.559998,77.720001,77.769997,77.074905,859800
2021-06-08,77.680000,78.699997,76.599998,78.470001,77.768654,903000
2021-06-09,78.849998,79.120003,78.000000,78.059998,77.362312,741800
2021-06-10,79.050003,79.419998,77.040001,77.940002,77.243393,919500
2021-06-11,78.360001,78.730003,77.709999,77.760002,77.065002,957700
2021-06-14,78.250000,78.690002,76.900002,77.419998,76.728035,1107700
2021-06-15,77.949997,79.080002,77.800003,78.970001,78.264183,916700
2021-06-16,78.849998,79.489998,77.889999,78.699997,77.996597,970200
2021-06-17,78.400002,79.040001,74.660004,75.739998,75.063049,1630900
2021-06-18,74.089996,75.190002,73.559998,73.620003,72.962006,1403500
2021-06-21,73.680000,76.209999,73.680000,76.070000,76.070000,1250400
2021-06-22,75.959999,76.879997,75.070000,76.629997,76.629997,780800
2021-06-23,77.440002,78.250000,76.820000,76.849998,76.849998,634000
2021-06-24,77.279999,77.669998,76.529999,77.550003,77.550003,766400
2021-06-25,77.980003,78.099998,77.459999,77.879997,77.879997,576000
2021-06-28,77.699997,77.699997,74.970001,75.300003,75.300003,790900
2021-06-29,75.860001,76.239998,74.879997,74.900002,74.900002,1041000
2021-06-30,75.290001,76.169998,75.180000,75.889999,75.889999,653400
2021-07-01,77.730003,77.900002,76.620003,77.260002,77.260002,916100
2021-07-02,77.180000,77.260002,76.300003,77.010002,77.010002,481600
2021-07-06,76.989998,76.989998,74.080002,74.459999,74.459999,986200
2021-07-07,74.300003,75.070000,72.320000,73.139999,73.139999,983800
2021-07-08,71.750000,73.620003,71.639999,72.910004,72.910004,884900
2021-07-09,73.879997,74.599998,73.010002,74.459999,74.459999,639400
2021-07-12,73.690002,74.839996,73.169998,74.379997,74.379997,2738100
2021-07-13,73.989998,74.400002,73.300003,73.750000,73.750000,925100
2021-07-14,74.070000,74.830002,71.150002,71.400002,71.400002,1097400
2021-07-15,70.629997,71.559998,70.050003,70.389999,70.389999,1247200
2021-07-16,71.010002,71.010002,68.220001,68.400002,68.400002,1309800
2021-07-19,65.949997,66.800003,64.940002,65.849998,65.849998,3126700
2021-07-20,66.010002,67.580002,65.419998,66.919998,66.919998,3834700
2021-07-21,68.239998,69.959999,68.209999,69.349998,69.349998,1419600
2021-07-22,69.239998,69.330002,67.930000,68.580002,68.580002,1725900
2021-07-23,68.690002,68.690002,67.510002,68.230003,68.230003,1069000
2021-07-26,68.410004,70.300003,68.410004,69.959999,69.959999,1493500
2021-07-27,69.400002,69.400002,68.389999,69.099998,69.099998,1300700
2021-07-28,69.410004,70.379997,68.629997,69.779999,69.779999,890300
2021-07-29,70.660004,70.889999,69.919998,70.339996,70.339996,1124400
2021-07-30,70.169998,70.430000,68.849998,69.290001,69.290001,1231600
2021-08-02,69.279999,71.029999,68.559998,68.709999,68.709999,1247300
2021-08-03,68.449997,69.970001,67.709999,69.839996,69.839996,1359400
2021-08-04,68.550003,69.370003,67.690002,67.750000,67.750000,1272500
2021-08-05,68.099998,69.529999,67.940002,68.620003,68.620003,1708400
2021-08-06,69.260002,69.830002,68.889999,69.269997,69.269997,931600
2021-08-09,68.339996,68.800003,67.760002,68.309998,68.309998,1053400
2021-08-10,68.669998,69.809998,68.669998,69.650002,69.650002,933600
2021-08-11,69.510002,70.209999,68.900002,70.080002,70.080002,1108000
